,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
114,"Poesia Acústica #8: Amor e Samba","Pineapple StormTv",93177,https://open.spotify.com/track/2RoWhAVtQrPU53BERYlmYZ
115,"Boss Bitch","Doja Cat",93161,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
116,"Sei Lá",Projota,93153,https://open.spotify.com/track/6l1PdE7lQbodewVQh16GCM
117,"Ouvi Dizer",Melim,92726,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV
118,"Deixa (feat. Ana Gabriela)",Lagum,91304,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp
119,"Bebi Liguei - Ao Vivo","Marília Mendonça",90669,https://open.spotify.com/track/3RbXsVQr4jeTxvT35Hssq3
120,"Mágica - Ao Vivo","Matheus & Kauan",89634,https://open.spotify.com/track/5cN5ZOVcYBl4Lnq50Zeqsx
121,"A Casa É Sua","Casa Worship",87949,https://open.spotify.com/track/3h3fui1QXImL2zRcs9v2Lc
122,"I Don't Care (with Justin Bieber)","Ed Sheeran",87394,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
123,"Perrengue - Ao Vivo","Gusttavo Lima",86591,https://open.spotify.com/track/6mdU8glNHYdBBj5DuKSL1B
124,"In Your Eyes","The Weeknd",85261,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
125,"Nem de Graça / Saudade Arregaça - Ao Vivo",Pixote,84977,https://open.spotify.com/track/3rDAHk73LZmgJIyGZstWQ0
126,Supalonely,BENEE,83995,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
127,"Bate Palma","MC JottaPê",83819,https://open.spotify.com/track/7offICpl9kla5kC61uUAs9
128,"Poesia Acústica - Paris","Pineapple StormTv",83611,https://open.spotify.com/track/5JKaHAt4atuNoLqpyDgbyK
129,"Pagou De Superada","Mc Anônimo",83535,https://open.spotify.com/track/3GSGW5pQhHKBmmQLebX3vx
130,"Quando a vontade bater (Participação especial de PK Delas)",Pk,83112,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH
131,"Tudo de bom",Pk,82903,https://open.spotify.com/track/3YqLyRFwjGuPBT7EHoyQH7
132,Believer,"Imagine Dragons",82135,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
133,"Ciumeira - Ao Vivo","Marília Mendonça",82004,https://open.spotify.com/track/7D5F5BzIon5zhzQrOU2pdN
134,"Apaixonadinha - Ao Vivo","Marília Mendonça",81785,https://open.spotify.com/track/0rUL7vUZmCKxB0gS83W3aM
135,"To Voando Alto","Mc Poze do Rodo",81666,https://open.spotify.com/track/7HLU2aJTAQfSIgJ2dMASsP
136,"Se Prepara 2","Mc Livinho",81520,https://open.spotify.com/track/0CgMeXQiNYJxPVQ2EMJxdL
137,"Sentou e Gostou","MC JottaPê",81406,https://open.spotify.com/track/6AQHdnPnoNoSpCJIO23KsX
138,"Sou Vitorioso","Mc Lele JP",81016,https://open.spotify.com/track/37hCsK2djczyRGWMjqzbxD
139,"Péssimo Negócio (Ao Vivo)",Dilsinho,80351,https://open.spotify.com/track/5MMrkwK6AgNAsgHVdC7daZ
140,"Resenha lá em casa","MC Kevin o Chris",79648,https://open.spotify.com/track/3NnW2EqJxvHYrRy3upaznl
141,"Hoje Eu Beberei - Ao Vivo","Felipe Araújo",79627,https://open.spotify.com/track/4rnI4obabjGCPI2CCCs5VR
142,Cobaia,"Lauana Prado",79517,https://open.spotify.com/track/1xyVMQx51Kab6eLVtE6twx
143,"Vai Luan, Rainha dos Faixa Preta","Mc Brunyn",79499,https://open.spotify.com/track/2epD7jzjNfrQYxdSaODCvF
