,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
112,Ransom,"Lil Tecca",314654,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
113,"PA' ROMPERLA","Bad Bunny",313108,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
114,"lovely (with Khalid)","Billie Eilish",310976,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
115,"Beautiful Crazy","Luke Combs",308813,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
116,Woah,"Lil Baby",308617,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
117,"Jocelyn Flores",XXXTENTACION,307985,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
118,"On Me (feat. Ava Max) - From 'SCOOB!' The Album","Thomas Rhett",305692,https://open.spotify.com/track/4ejNoyrhgjrioqJbgTNPu3
119,July,"Noah Cyrus",304621,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
120,"Watermelon Sugar","Harry Styles",303647,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
121,"Like That (feat. Gucci Mane)","Doja Cat",302116,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
122,"I Hope","Gabby Barrett",300041,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI
123,"OUT WEST (feat. Young Thug)",JACKBOYS,296735,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
124,Memories,"Maroon 5",296342,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
125,"SLOW DANCING IN THE DARK",Joji,294135,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
126,Heartless,"The Weeknd",293826,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
127,SAD!,XXXTENTACION,291809,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
128,"Heart On Ice","Rod Wave",290571,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
129,"MIDDLE CHILD","J. Cole",288880,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
130,Wow.,"Post Malone",288480,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
131,Suge,DaBaby,288311,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
132,"Will - Remix","Joyner Lucas",288224,https://open.spotify.com/track/6WI33r2QRxyxttn3KH0XkC
133,"No Matter What","Polo G",287572,https://open.spotify.com/track/4dKe8YJZg545pXqWBksYIe
134,"Wishing For A Hero (feat. BJ The Chicago Kid)","Polo G",286032,https://open.spotify.com/track/192RjH0gN6en7nE6ElN96T
135,"You should be sad",Halsey,284340,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
136,"Level of Concern","Twenty One Pilots",283415,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
137,"Truth Hurts",Lizzo,282119,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
138,Relentless,"Polo G",280690,https://open.spotify.com/track/1F8yKtk5CQBptos4kM7aO7
139,"Goodbyes (Feat. Young Thug)","Post Malone",279668,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
140,Suicidal,"YNW Melly",278749,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
141,"when the party's over","Billie Eilish",278680,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
142,"Magic In The Hamptons (feat. Lil Yachty)","Social House",278386,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
143,"XO Tour Llif3","Lil Uzi Vert",278301,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
144,"Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album","Lennon Stella",277775,https://open.spotify.com/track/49dFIRQCQxPWgoH0m38XQ5
145,"rockstar (feat. 21 Savage)","Post Malone",277364,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
146,SUGAR,BROCKHAMPTON,271157,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
147,"I Fall Apart","Post Malone",269506,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
148,"Pop Out (feat. Lil Tjay)","Polo G",269183,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
149,"BAD CON NICKY","Bad Bunny",268359,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI
150,"The Less I Know The Better","Tame Impala",267969,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
151,"No Idea","Don Toliver",267674,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
152,"Murder On My Mind","YNW Melly",265445,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
153,"CÓMO SE SIENTE - Remix","Jhay Cortez",265380,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
154,"Sum 2 Prove","Lil Baby",264597,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
155,"Six Feet Apart","Luke Combs",263638,https://open.spotify.com/track/5v6gozUHFv9OoNdFYz6p8V
156,"Lo Mein","Lil Uzi Vert",263017,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
157,"Know Your Worth",Khalid,262652,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
158,"More Than My Hometown","Morgan Wallen",262590,https://open.spotify.com/track/6FniJZn4agmDtPx1pKZQsa
159,"Five More Minutes","Jonas Brothers",259599,https://open.spotify.com/track/0WxSQtLMCLcsAOhliamv5W
160,"CANCIÓN CON YANDEL",Yandel,259319,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
161,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",258099,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
162,"good guys",LANY,257379,https://open.spotify.com/track/3c7peg169veVaJRzlbCaKw
163,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,256023,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
164,F.N,"Lil Tjay",255341,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
165,"No Guidance (feat. Drake)","Chris Brown",255005,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
166,"Heatin Up (feat. Gunna)","Lil Baby",254529,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
167,"Trials & Tribulations","Polo G",253150,https://open.spotify.com/track/6V1Jx3o0S2MtBI9yIDXsJS
168,"Armed And Dangerous","Juice WRLD",251723,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
169,"Tongue Tied",Grouplove,251540,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
170,D4L,Future,251406,https://open.spotify.com/track/5fHrHoJKfCgBd35zwIBmUK
171,Moana,G-Eazy,251355,https://open.spotify.com/track/1Tfxi7N3DW4zvAuVjt9g8X
172,"BELIEVE IT",PARTYNEXTDOOR,250860,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
173,VIBEZ,DaBaby,250419,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
174,Riot,"Lil Skies",250278,https://open.spotify.com/track/3U3STxSn8EgiwtbgG7g6k1
175,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",249994,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
176,"223's (feat. 9lokknine)","YNW Melly",249723,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
177,Chinatown,"Polo G",249264,https://open.spotify.com/track/4XLCFFvRG1qQ8kT4uzwYZC
178,"Going Bad (feat. Drake)","Meek Mill",248895,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
179,EARFQUAKE,"Tyler, The Creator",248652,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
180,Skechers,DripReport,246149,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
181,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",245420,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
182,"PICK UP (feat. Quavo)",DaBaby,244393,https://open.spotify.com/track/5gNOINI5dXZVom2b36LMOd
183,"Si Veo a Tu Mamá","Bad Bunny",243983,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
184,Falling,"Harry Styles",242294,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
185,Señorita,"Shawn Mendes",242229,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
186,"Does To Me (feat. Eric Church)","Luke Combs",241296,https://open.spotify.com/track/0nGXi46VcQQ56ZJR428MKS
187,"Zoo York (feat. Fivio Foreign & Pop Smoke)","Lil Tjay",240413,https://open.spotify.com/track/3Ddny34bFoYBb8dIGq5lwp
188,"Better Now","Post Malone",240186,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
189,"Captain Hook","Megan Thee Stallion",239873,https://open.spotify.com/track/1E3VQQWFQAPJkXfYHjqWoI
190,"My Oh My (feat. DaBaby)","Camila Cabello",238883,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
191,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,237700,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
192,Guys,"The 1975",237490,https://open.spotify.com/track/1qQJWohzIrKMNIz6pyyKYw
193,"Demons (feat. Fivio Foreign & Sosa Geek)",Drake,237465,https://open.spotify.com/track/05aZ9sAU1YXndHv0FMi9iW
194,"Emotionally Scarred","Lil Baby",237018,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
195,enemy,"Charli XCX",236407,https://open.spotify.com/track/51qNCY0lUymE88LPDUqFXd
196,"7 rings","Ariana Grande",236204,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
197,"This City","Sam Fischer",236010,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
198,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",235684,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
199,"When It Rains It Pours","Luke Combs",235676,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
200,Speechless,"Dan + Shay",235335,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
