,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
108,"I Miss You",GELO,56822,https://open.spotify.com/track/5yTqoZ6nhOv21jNHFfwsBV
109,"Come & Go (with Marshmello)","Juice WRLD",56648,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
110,"Be Kind (with Halsey)",Marshmello,56433,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
111,"Scat Men (feat. Ghali & Gemitaiz)","Achille Lauro",55743,https://open.spotify.com/track/4cb65MgCXA2JNEhJW6A57j
112,"Balla Per Me","Tiziano Ferro",54359,https://open.spotify.com/track/6my3pKZ8QxxI5ZezQVR0wf
113,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,54293,https://open.spotify.com/track/5EpBEqf5bnKeJ3p4zA1Sod
114,"Djomb - Remix",Bosh,54053,https://open.spotify.com/track/37PWYMEAbH3DTVqvEqrBzm
115,"LEAN NEL LEAN","FSK SATELLITE",53741,https://open.spotify.com/track/1TXxgADiaVFrHMsyYUYlIP
116,"16 Marzo (feat. Gow Tribe)","Achille Lauro",53526,https://open.spotify.com/track/3nwH3HTFzpnRV5SqM9um3r
117,"fuck 3x","tha Supreme",53351,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
118,goosebumps,"Travis Scott",53245,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
119,"SNITCH E IMPICCI (feat. FSK SATELLITE)",DrefGold,53000,https://open.spotify.com/track/5zgyx2vTkJ05b5Y37X95Wy
120,"Immortale (feat. Sfera Ebbasta)","Guè Pequeno",52808,https://open.spotify.com/track/2bF1qPRPlrODKWFMGtQXq1
121,"Ringo Starr","Pinguini Tattici Nucleari",52624,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
122,#THOTMILANODM,Radical,52041,https://open.spotify.com/track/4wz9be3iTHln8swogVIAwR
123,"Better Days - Giorni Migliori (with Negramaro)",OneRepublic,52021,https://open.spotify.com/track/6kfUXAS4K8zpNCADiFqMCt
124,"Domani ci passa",Ludwig,51952,https://open.spotify.com/track/3elLXGwE5zaREuOzWdlRJ2
125,"BRAVI A CADERE - I polmoni",Marracash,51326,https://open.spotify.com/track/3me7fQdjgO8NHscb3xPaBa
126,"TOP GUN","FSK SATELLITE",51318,https://open.spotify.com/track/0IvlgqfeAXVHzKXI6sy5dK
127,"Cacao (feat. Pyrex)",Ghali,51213,https://open.spotify.com/track/0lAzr7LGHV1sdcYJfEKNmu
128,"Boogieman (feat. Salmo)",Ghali,50335,https://open.spotify.com/track/58bRZqUPWnpop0WC9ob5wJ
129,"Baby Gang","167 Gang",50309,https://open.spotify.com/track/0ob3HWUcMDYQJKeN3haJdg
130,"you broke me first","Tate McRae",50074,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
131,Lento,"Boro Boro",49896,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
132,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",49821,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
133,Crepe,Irama,49454,https://open.spotify.com/track/6L671UzJPyAzbHEhaNhDUJ
134,"Dance Monkey","Tones And I",49365,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
135,"NEON - Le Ali (feat. Elisa)",Marracash,49291,https://open.spotify.com/track/76cEI7LczlKZ1yLAHIoPBJ
136,"SuL Più BeLLo",Alfa,48609,https://open.spotify.com/track/5h2DMykCg3GeZu3HpjwuTU
137,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,48311,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
138,"ANSIA NO","FSK SATELLITE",48227,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
139,"Ferma A Guardare",Ernia,47891,https://open.spotify.com/track/2UJFzqzkU6eByT6tdi2iLf
140,Stanotte,PSICOLOGI,47441,https://open.spotify.com/track/6QYX8ZfG0ICSkqTaASvycX
141,"Dove e quando","Benji & Fede",47181,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK
142,"Auto Blu",Shiva,47135,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
143,"In Piazza",Paky,46995,https://open.spotify.com/track/3N0cYpWubd9hAUApJDcLRw
144,"death bed (coffee for your head)",Powfu,46615,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
145,"A Güiro","Rafa Pabön",46234,https://open.spotify.com/track/4hgIsfE3u7duCJFYXm6kZe
146,Rapide,Mahmood,46169,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
147,"HIGHEST IN THE ROOM","Travis Scott",45442,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
148,"Tardissimo (feat. Mahmood & Marracash)","Guè Pequeno",45422,https://open.spotify.com/track/4P3ZKz4tnPiaGIflQElKgJ
149,Amarena,"Frah Quintale",45034,https://open.spotify.com/track/0nqwOIZtuWl0xVbfYiL6UW
150,SPEEDRUNNER,"Dark Polo Gang",45014,https://open.spotify.com/track/0RF9qZQf1jRgUF6Y4Lq39m
151,"Polo nord - C+N Progressive Mix","Massimo Pericolo",44910,https://open.spotify.com/track/1Wbc0N0X1zkFqnKGcj8Quh
152,"Benedetta (feat. Izi)","Vaz Tè",44648,https://open.spotify.com/track/3SP7jDSAzh3miihSX9AT4G
153,"Non Avere Paura","Tommaso Paradiso",44510,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
154,Brivido,"Guè Pequeno",44441,https://open.spotify.com/track/7fH13hSOyNoeiDGbjEnTUC
155,"PAROLA - feat. Lazza, Emis Killa",Giaime,44306,https://open.spotify.com/track/4XxQOwmNM0DF3bKafSJBNw
156,"Vestiti D’Odio (con PSICOLOGI)","Tredici Pietro",44194,https://open.spotify.com/track/3NLE4ioQE8aWxoJjk2IQTC
157,"Puro Sinaloa (feat. Tedua, Rkomi & Lazza)",Ernia,44128,https://open.spotify.com/track/5E75l3Zb0vzdiDNJczr29z
158,"SCACCIACANI - feat. Massimo Pericolo - prod. Crookers & Nic Sarno",Ketama126,44022,https://open.spotify.com/track/1T4Q9sLfxlFP4EMvedo8p3
159,Pregiudicati,Skinny,43870,https://open.spotify.com/track/5PXOuBwrUgqxn8njY4xrfw
160,"El Efecto","Rauw Alejandro",43822,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
161,"SICKO MODE","Travis Scott",43661,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
162,"Lo Sai",Tedua,43651,https://open.spotify.com/track/2fQtrzMUMmnnJ5YxSb55MR
163,"Blu Part II (con Rkomi)",Elisa,43274,https://open.spotify.com/track/2ZfN2wRHwwbFd7Ok0L3wQ6
164,MVMA,"Nicola Siciliano",43101,https://open.spotify.com/track/6JEBbNP8pvlMw5L3M0a5zd
165,Chic,Izi,42785,https://open.spotify.com/track/7jUJ2RmT4PFHHq4goMWqm3
166,"Party HH - feat. Lazza",Tedua,42783,https://open.spotify.com/track/61koTDrwN9kZQmDhtH7NpM
167,"Bella così - feat. Federica Carta","Chadia Rodriguez",42596,https://open.spotify.com/track/3XLyyybPY2d8kLiMb8HIyA
168,Missili,"Frah Quintale",42577,https://open.spotify.com/track/5dcyltc1ataieXIeTqhH3t
169,Dior,"Pop Smoke",42558,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
170,GOOBA,6ix9ine,42517,https://open.spotify.com/track/6qiiDtFAJjyEhoZVcf6ovL
171,"Nudi nel letto",Random,42487,https://open.spotify.com/track/5HTLJWJrxrAdZVRo6TRIKC
172,"Someone You Loved","Lewis Capaldi",42263,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
173,"Stu core t'apparten","Rocco Hunt",42078,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
174,"STO BENE",PSICOLOGI,42065,https://open.spotify.com/track/2HmQf3PZWehdjdm5IAAxEt
175,Arrogante,Irama,41784,https://open.spotify.com/track/3VDA2SesnexSr2PoGACRMG
176,"Blue Bandana",Skinny,41759,https://open.spotify.com/track/55Soh2lcLeN0ysLou2P7XP
177,Shallow,"Lady Gaga",41580,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
178,"Medellin (feat. Lazza)","Guè Pequeno",41501,https://open.spotify.com/track/1hqV0kb6c8Rp9jvJRPcDy7
179,"Che Poi","Carl Brave",41208,https://open.spotify.com/track/55BfNKdOeu77gxPB0UGnAw
180,"Mambo Salentino",Boomdabash,41115,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
