,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
162,Jerusalema,"Master KG",1608,https://open.spotify.com/track/50jroqJUhK3dyipGToAE5W
163,"Here With Me",Marshmello,1601,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
164,Tikoloshi,"Soweto's Finest",1595,https://open.spotify.com/track/2DxRbSpyYb0Kmw0wn30Npw
165,"Triggered (freestyle)","Jhené Aiko",1593,https://open.spotify.com/track/3zPgAKn5tbmCuCKrR3r7qE
166,Moonlight,XXXTENTACION,1590,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
167,"Boss Bitch","Doja Cat",1583,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
168,"Be Alright","Dean Lewis",1582,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
169,"Sgubu Se Monati",JazziDisciples,1582,https://open.spotify.com/track/3vneQGrZgsMCmtFQ5qOVVw
170,Changes,Elaine,1578,https://open.spotify.com/track/4nEYCKiGQW9mTIVxX885WD
171,"Talk (feat. Disclosure)",Khalid,1578,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
172,"No Judgement","Niall Horan",1556,https://open.spotify.com/track/2sGF7DBXvL2GjkbG606m1G
173,"Going Bad (feat. Drake)","Meek Mill",1547,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
174,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1536,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
175,International,"Vigro Deep",1526,https://open.spotify.com/track/65fBAjfgwr7cbB96OYBAnh
176,"The Other Side (from Trolls World Tour)",SZA,1521,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
177,I/You,Elaine,1516,https://open.spotify.com/track/5pFvJMDiIFlJLcBQ9i9UAx
178,Africa,TOTO,1509,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
179,"It's You","Ali Gatie",1509,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
180,"Can We Talk","Tevin Campbell",1506,https://open.spotify.com/track/6a5jHgwqYMk9wlYJYfs3c9
181,"Good as Hell (feat. Ariana Grande)",Lizzo,1505,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
182,Robbery,"Juice WRLD",1499,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
183,"Lalela (feat. The Squad)","Mfr Souls",1493,https://open.spotify.com/track/5nJUoXPB1OR7pe2NTXrp6d
184,Heartless,"The Weeknd",1485,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
185,Dames,Biggy,1475,https://open.spotify.com/track/72Yg5qdIqpTnXrNPEewglz
186,"High Hopes","Panic! At The Disco",1474,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
187,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,1469,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
188,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,1461,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
189,Go!,"DJ Zinhle",1458,https://open.spotify.com/track/4GKyWaIDeBMlXgFTUcpFwi
190,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,1456,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
191,Believer,"Imagine Dragons",1456,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
192,"Lottery (Renegade)","K CAMP",1456,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
193,NdiKuze,"Major League Djz",1454,https://open.spotify.com/track/4RowzfFi9PkHXSySLEvBLz
194,"Lo Mein","Lil Uzi Vert",1445,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
195,"Old Me","5 Seconds of Summer",1434,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
196,"Can't Feel My Legs","Don Toliver",1434,https://open.spotify.com/track/47IXLhp3c6mu7NqvpuhuLi
197,Psycho!,MASN,1432,https://open.spotify.com/track/5LKkteRQ1wWv7XCIEA5F2q
198,Thunder,"Imagine Dragons",1431,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
199,"Girls Like You (feat. Cardi B)","Maroon 5",1428,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
200,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",1427,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
